Nazwa;Kcal;Wêglowodany;Bia³ko;T³uszcz
Makaron czterojajeczny;377;76.2;12;3.4
Makaron dwujajeczny;373;77.4;11.5;2.6
Makaron na mleku;66;8.5;2.9;2.3
Makrela filety z czerwon¹ fasol¹;128;4.4;12.4;7.3
Makrela filety z warzywami;124;3.6;12;7.3
Makrela sa³atka pikantna;181;6.9;10.2;13.2
Makrela œwie¿a;181;0;18.7;11.9
Makrela wêdzona;221;0;20.7;15.5
Maliny;29;12;1.3;0.3
Mandarynki;42;11.2;0.6;0.2
Marchew;27;8.7;1;0.2
Marchew mro¿ona;24;7.8;0.9;0.2
Marchew z groszkiem;64;10.8;1.7;3.1
Marchew zasma¿ana;69;8.4;1;4.8
Margaryna Bona;442;0;0;50
Margaryna Flora;531;0;0;60
Margaryna Kama;398;0;0;45
Margaryna mleczna;710;0.4;0.3;80
Margaryna Palma;710;0.4;0.3;80
Margaryna Rama;621;0.4;0.1;70
Margaryna S³oneczna;710;0.4;0.3;80
Margaryna Tina;442;0;0;45
Margaryna zwyk³a;710;0.4;0.3;80
Markizy;483;64.3;5.6;23
Mas³o ekstra;735;0.7;0.7;82.5
Mas³o roœlinne Nova;442;0;0;50
Mas³o roœlinne zwyk³e;666;0.4;0.3;75
Mas³o œmietankowe;659;1.1;1.1;73.5
Maœlanka 05 %;37;4.7;3.4;0.5
Maœlanka 05%;37;4.7;3.4;0.5
M¹ka pszenna typ 500;342;74.9;9.2;1.2
M¹ka pszenna typ 550;343;74.1;9.4;1.6
Medaliony z indyka;247;3.4;18.6;17.9
Melon;36;8.4;0.9;0.3
Mielonka;171;3.7;12.8;11.7
Migda³y;572;20.5;20;52
Mintaj œwie¿y;73;0;16.6;0.6
Miód pszczeli;324;79.5;0;0
Mizeria ze œmietan¹;34;2.8;1;2.2
Mleko kozie;68;4.5;3.2;4.1
Mleko owcze;107;5.1;6;7
Mleko spo¿ywcze 05 %;39;5.1;3.5;0.5
Mleko spo¿ywcze 05%;39;5.1;3.5;0.5
Mleko spo¿ywcze 15 %;47;5;3.4;1.5
Mleko spo¿ywcze 15%;47;5;3.4;1.5
Mleko spo¿ywcze 2 %;51;4.9;3.4;2
Mleko spo¿ywcze 2%;51;4.9;3.4;2
Mleko spo¿ywcze 32 %;61;4.8;3.3;3.2
Mleko spo¿ywcze 32%;61;4.8;3.3;3.2
Mleko spo¿ywcze 35 %;64;4.8;3.3;3.5
Mleko spo¿ywcze 35%;64;4.8;3.3;3.5
Mleko w proszku odt³uszczone;360;51.2;35.7;0.8
Mleko w proszku pe³ne;479;38.7;27;24
Mleko zagêszczone nies³odzone;131;9.4;6.6;7.5
Mleko zagêszczone s³odzone;326;55.3;7.5;8
Morela;47;11.9;0.9;0.2
Morele d¿em niskos³odzony;157;38.8;0.4;0.1
Morele suszone;284;72.2;5.4;1.2
Morszczuk œwie¿y;89;0;17.2;2.2
Mus jab³kowy;127;28.7;2.2;0.5
Musli z owocami suszonymi;325;72.2;8.4;3.4
Musli z rodzynkami i orzechami;375;62.9;11.5;12.7
Musztarda;162;22;5.7;6.4
Naleœniki z kapust¹;147;15.2;3.2;9.2
Naleœniki z serem;242;27.4;10.1;10.3
Napoleonka - ciastko;348;43.6;5.9;17
Napój mleczny jogurtowy;82;12.1;4;1.9
Napój mleczny kakaowy;81;12.1;3.3;2.1
Napój owocowy gazowany;42;10.3;0;0
Nektarynka;48;11.8;0.9;0.2
Nerki wieprzowe;102;0;16.8;3.8
Nogi wieprzowe;274;0;23;20.4
Ocet winny;20;5;0;0
Ogórek;15;2.9;0.7;0.1
Ogórek kiszony;12;1.9;0.7;0.2
Olej kukurydziany;900;0;0;100
Olej lniany;900;0;0;100
Olej rzepakowy;900;0;0;100
Olej s³onecznikowy;900;0;0;100
Olej sojowy;900;0;0;100
